state,year,pop_est,observed
PB,2015,3972202,TRUE
PE,2015,9345173,TRUE
PI,2015,3204028,TRUE
PR,2015,11163018,TRUE
RJ,2015,16550024,TRUE
RN,2015,3442175,TRUE
RO,2015,6292937,TRUE
RR,2015,505665,TRUE
RS,2015,11247972,TRUE
SC,2015,6819190,TRUE
SE,2015,2242937,TRUE
SP,2015,44396484,TRUE
TO,2015,1515126,TRUE
AC,2016,816687,TRUE
AL,2016,3358963,TRUE
AM,2016,4001667,TRUE
AP,2016,782295,TRUE
BA,2016,15429128,TRUE
CE,2016,8963663,TRUE
DF,2016,2977216,TRUE
ES,2016,3973697,TRUE
GO,2016,6695855,TRUE
MA,2016,6954036,TRUE
MG,2016,20997560,TRUE
MS,2016,2682386,TRUE
MT,2016,3305531,TRUE
PA,2016,8352394,TRUE
PB,2016,4202499,TRUE
PE,2016,9410336,TRUE
PI,2016,3212180,TRUE
PR,2016,11242720,TRUE
RJ,2016,16635996,TRUE
RN,2016,3474998,TRUE
RO,2016,6388251,TRUE
RR,2016,514229,TRUE
RS,2016,11286500,TRUE
SC,2016,6910553,TRUE
SE,2016,2265779,TRUE
SP,2016,44749699,TRUE
TO,2016,1532902,TRUE
AC,2017,829619,TRUE
AL,2017,3375823,TRUE
AM,2017,4063614,TRUE
AP,2017,797722,TRUE
BA,2017,15495776,TRUE
CE,2017,9020460,TRUE
DF,2017,3039444,TRUE
ES,2017,4016356,TRUE
GO,2017,6778772,TRUE
MA,2017,7000229,TRUE
MG,2017,21119536,TRUE
MS,2017,2713147,TRUE
MT,2017,3344544,TRUE
PA,2017,8439161,TRUE
PB,2017,4229525,TRUE
PE,2017,9473266,TRUE
PI,2017,3219257,TRUE
PR,2017,11320892,TRUE
RJ,2017,16718956,TRUE
RN,2017,3507003,TRUE
RO,2017,6480713,TRUE
RR,2017,522636,TRUE
RS,2017,11322895,TRUE
SC,2017,7001161,TRUE
SE,2017,2288116,TRUE
SP,2017,45094866,TRUE
TO,2017,1550194,TRUE
AC,2018,869265,TRUE
AL,2018,3322820,TRUE
AM,2018,4848802,TRUE
AP,2018,829494,TRUE
BA,2018,21538122,TRUE
CE,2018,9075649,TRUE
DF,2018,2974703,TRUE
ES,2018,3972388,TRUE
GO,2018,6921161,TRUE
MA,2018,8120651,TRUE
MG,2018,21040662,TRUE
MS,2018,2748023,TRUE
MT,2018,3441998,TRUE
PA,2018,8593594,TRUE
PB,2018,5566169,TRUE
PE,2018,10496502,TRUE
PI,2018,3264531,TRUE
PR,2018,11348937,TRUE
RJ,2018,17159960,TRUE
RN,2018,4388936,TRUE
RO,2018,6433369,TRUE
RR,2018,576568,TRUE
RS,2018,11329605,TRUE
SC,2018,7075494,TRUE
SE,2018,2278308,TRUE
SP,2018,45538936,TRUE
TO,2018,1555229,TRUE
AC,2019,881935,TRUE
AL,2019,3337357,TRUE
AM,2019,4806259,TRUE
AP,2019,845731,TRUE
BA,2019,33329921,TRUE
CE,2019,9132078,TRUE
DF,2019,3015268,TRUE
ES,2019,4018650,TRUE
GO,2019,7018354,TRUE
MA,2019,8174960,TRUE
MG,2019,21168791,TRUE
MS,2019,2778986,TRUE
MT,2019,4441518,TRUE
PA,2019,8677021,TRUE
PB,2019,4018127,TRUE
PE,2019,9557071,TRUE
PI,2019,3273227,TRUE
PR,2019,12437736,TRUE
RJ,2019,17264943,TRUE
RN,2019,4428460,TRUE
RO,2019,6543122,TRUE
RR,2019,605761,TRUE
RS,2019,11377239,TRUE
SC,2019,7164788,TRUE
SE,2019,2298696,TRUE
SP,2019,45919049,TRUE
TO,2019,1572866,TRUE
AC,2020,894470,TRUE
AL,2020,3351543,TRUE
AM,2020,4883119,TRUE
AP,2020,861773,TRUE
BA,2020,21228840,TRUE
CE,2020,9187103,TRUE
DF,2020,3055149,TRUE
ES,2020,4064052,TRUE
GO,2020,7113540,TRUE
MA,2020,8228327,TRUE
MG,2020,21292666,TRUE
MS,2020,2809394,TRUE
MT,2020,3526220,TRUE
PA,2020,8759060,TRUE
PB,2020,4039277,TRUE
PE,2020,9726159,TRUE
PI,2020,3281480,TRUE
PR,2020,11516840,TRUE
RJ,2020,17366189,TRUE
RN,2020,4467220,TRUE
RO,2020,6650647,TRUE
RR,2020,631181,TRUE
RS,2020,11422973,TRUE
SC,2020,7252502,TRUE
SE,2020,2318822,TRUE
SP,2020,46289333,TRUE
TO,2020,1590248,TRUE
AC,2021,906876,TRUE
AL,2021,3365351,TRUE
AM,2021,17845294,TRUE
AP,2021,877613,TRUE
BA,2021,22720323,TRUE
CE,2021,9240580,TRUE
DF,2021,3094325,TRUE
ES,2021,4108508,TRUE
GO,2021,7206589,TRUE
MA,2021,19554511,TRUE
MG,2021,21411923,TRUE
MS,2021,2839188,TRUE
MT,2021,3567234,TRUE
PA,2021,9465385,TRUE
PB,2021,4059905,TRUE
PE,2021,10884192,TRUE
PI,2021,3289290,TRUE
PR,2021,11597484,TRUE
RJ,2021,17463349,TRUE
RN,2021,3560903,TRUE
RO,2021,6755847,TRUE
RR,2021,652713,TRUE
RS,2021,11466630,TRUE
SC,2021,7338473,TRUE
SE,2021,2338474,TRUE
SP,2021,46649132,TRUE
TO,2021,1607363,TRUE
AC,2022,898128,FALSE
AL,2022,3316935,FALSE
AM,2022,13323932,FALSE
AP,2022,852688,FALSE
BA,2022,20097053,FALSE
CE,2022,9238272,FALSE
DF,2022,3057156,FALSE
ES,2022,4106382,FALSE
GO,2022,7254554,FALSE
MA,2022,15373327,FALSE
MG,2022,21382179,FALSE
MS,2022,2860090,FALSE
MT,2022,3656956,FALSE
PA,2022,9198359,FALSE
PB,2022,4088283,FALSE
PE,2022,10435804,FALSE
PI,2022,3318075,FALSE
PR,2022,11673211,FALSE
RJ,2022,17382126,FALSE
RN,2022,3522626,FALSE
RO,2022,5085974,FALSE
RR,2022,674073,FALSE
RS,2022,11387725,FALSE
SC,2022,7578462,FALSE
SE,2022,2322675,FALSE
SP,2022,46423819,FALSE
TO,2022,1597356,FALSE
AC,2023,889379,FALSE
AL,2023,3268520,FALSE
AM,2023,8802571,FALSE
AP,2023,827762,FALSE
BA,2023,17473783,FALSE
CE,2023,9235964,FALSE
DF,2023,3019987,FALSE
ES,2023,4104255,FALSE
GO,2023,7302518,FALSE
MA,2023,11192144,FALSE
MG,2023,21352435,FALSE
MS,2023,2880993,FALSE
MT,2023,3746677,FALSE
PA,2023,8931332,FALSE
PB,2023,4116662,FALSE
PE,2023,9987417,FALSE
PI,2023,3346861,FALSE
PR,2023,11748938,FALSE
RJ,2023,17300902,FALSE
RN,2023,3484348,FALSE
RO,2023,3416100,FALSE
RR,2023,695433,FALSE
RS,2023,11308820,FALSE
SC,2023,7818452,FALSE
SE,2023,2306876,FALSE
SP,2023,46198507,FALSE
TO,2023,1587349,FALSE
AC,2024,880631,TRUE
AL,2024,3220104,TRUE
AM,2024,4281209,TRUE
AP,2024,802837,TRUE
BA,2024,14850513,TRUE
CE,2024,9233656,TRUE
DF,2024,2982818,TRUE
ES,2024,4102129,TRUE
GO,2024,7350483,TRUE
MA,2024,7010960,TRUE
MG,2024,21322691,TRUE
MS,2024,2901895,TRUE
MT,2024,3836399,TRUE
PA,2024,8664306,TRUE
PB,2024,4145040,TRUE
PE,2024,9539029,TRUE
PI,2024,3375646,TRUE
PR,2024,11824665,TRUE
RJ,2024,17219679,TRUE
RN,2024,3446071,TRUE
RO,2024,1746227,TRUE
RR,2024,716793,TRUE
RS,2024,11229915,TRUE
SC,2024,8058441,TRUE
SE,2024,2291077,TRUE
SP,2024,45973194,TRUE
TO,2024,1577342,TRUE
AC,2025,884372,TRUE
AL,2025,3220848,TRUE
AM,2025,4321616,TRUE
AP,2025,806517,TRUE
BA,2025,14870907,TRUE
CE,2025,9268836,TRUE
DF,2025,2996899,TRUE
ES,2025,4126854,TRUE
GO,2025,7423629,TRUE
MA,2025,7018211,TRUE
MG,2025,21393441,TRUE
MS,2025,2924631,TRUE
MT,2025,3893659,TRUE
PA,2025,8711196,TRUE
PB,2025,4164468,TRUE
PE,2025,9562007,TRUE
PI,2025,3384547,TRUE
PR,2025,11890517,TRUE
RJ,2025,17223547,TRUE
RN,2025,3455236,TRUE
RO,2025,1751950,TRUE
RR,2025,738772,TRUE
RS,2025,11233263,TRUE
SC,2025,8187029,TRUE
SE,2025,2299425,TRUE
SP,2025,46081801,TRUE
TO,2025,1586859,TRUE
