"site_id","name","state","climreg","lon","lat","year","month","date","tmin_c","tmax_c","prec_mm"
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2008,4,"2008-04-01",23,29.0666675567627,493.146667480469
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2008,4,"2008-04-01",21.5,29.8125,258.818756103516
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2008,4,"2008-04-01",20.1875,31,129.981246948242
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2008,4,"2008-04-01",15.3125,24,129.356246948242
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2008,4,"2008-04-01",19.25,31,85.6937484741211
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2008,4,"2008-04-01",16.25,27.375,117.46875
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2008,5,"2008-05-01",23,30.1875,261.893737792969
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2008,5,"2008-05-01",15,26,74.8562469482422
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2008,5,"2008-05-01",23,29,228.033340454102
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2008,5,"2008-05-01",20.9375,30.5,124.137496948242
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2008,5,"2008-05-01",20,30,10.6312503814697
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2008,5,"2008-05-01",12,22,49.5125007629395
312770,"Governador Valadares","MG","CWA",-41.96347038,-18.78346431,2008,5,"2008-05-01",16.0625,28.875,20.7000007629395
310620,"Belo Horizonte","MG","CWB",-43.95996926,-19.90266299,2008,5,"2008-05-01",13.0625,25.3125,3.09375
150210,"Cametá","PA","AF",-49.51356642,-2.253051757,2008,6,"2008-06-01",22.875,31.75,193.237503051758
500270,"Campo Grande","MS","AM",-54.2507583,-20.91304623,2008,6,"2008-06-01",13,25.75,15.8312501907349
230440,"Fortaleza","CE","AS",-38.52800153,-3.785832236,2008,6,"2008-06-01",22,28.6000003814697,77.0733337402344
170210,"Araguaína","TO","AW",-48.58775176,-7.331412439,2008,6,"2008-06-01",19.5,32.5625,2.86875009536743
261110,"Petrolina","PE","BSH",-40.57240057,-9.019698976,2008,6,"2008-06-01",18,29.0625,6.65000009536743
355030,"São Paulo","SP","CFA",-46.64802117,-23.64990691,2008,6,"2008-06-01",11.25,20.6875,52.4000015258789
